n,sigma(n),2n,diff,Valid (d1, d2) Combinations
96353792,193461576,192707584,753992,"+1228 +752764; +752764 +1228"
99950464,199909800,199900928,8872,"+8 +8864; +8864 +8"
100651008,268402688,201302016,67100672,"+16775168 +50325504; +33550336 +33550336; +50325504 +16775168"
100917248,205508352,201834496,3673856,"+3153664 +520192; +520192 +3153664"
102391424,204897600,204782848,114752,"+107104 +7648; +7648 +107104"
112360064,224721300,224720128,1172,"+1108 +64; +64 +1108"
116892032,233906400,233784064,122336,"+122272 +64; +64 +122272"
116953216,234028800,233906432,122368,"+122336 +32; +32 +122336"
117563392,239060736,235126784,3933952,"+260096 +3673856; +3673856 +260096"
118032896,236988180,236065792,922388,"+256 +922132; +922132 +256"
121832576,243984000,243665152,318848,"+12736 +306112; +306112 +12736"
121956608,244298880,243913216,385664,"+339712 +45952; +45952 +339712"
137139712,278566992,274279424,4287568,"+1952 +4285616; +4285616 +1952"
140950016,286304964,281900032,4404932,"+244 +4404688; +4404688 +244"
143462656,287132944,286925312,207632,"+16 +207616; +207616 +16"
148081408,296543520,296162816,380704,"+32 +380672; +380672 +32"
150111488,300615168,300222976,392192,"+256 +391936; +391936 +256"
161976448,324360000,323952896,407104,"+128 +406976; +406976 +128"
162180224,324768000,324360448,407552,"+407488 +64; +64 +407488"
162333056,325074000,324666112,407888,"+16 +407872; +407872 +16"
166602496,333392752,333204992,187760,"+15472 +172288; +172288 +15472"
188490496,377175232,376980992,194240,"+155392 +38848; +38848 +155392"
210321152,420826896,420642304,184592,"+174976 +9616; +9616 +174976"
232774912,465621156,465549824,71332,"+3428 +67904; +67904 +3428"
234111232,468288576,468222464,66112,"+128 +65984; +65984 +128"
234404608,468877248,468809216,68032,"+128 +67904; +67904 +128"
234852352,536805376,469704704,67100672,"+33550336 +33550336; +58713088 +8387584; +8387584 +58713088"
237647104,475352640,475294208,58432,"+128 +58304; +58304 +128"
242358016,484771392,484716032,55360,"+128 +55232; +55232 +128"
258949888,517994568,517899776,94792,"+8 +94784; +94784 +8"
264011008,528169600,528022016,147584,"+108736 +38848; +38848 +108736"
265036672,530077680,530073344,4336,"+128 +4208; +4208 +128"
266657024,533318436,533314048,4388,"+16 +4372; +4372 +16"
270420736,540899632,540841472,58160,"+11632 +46528; +46528 +11632"
271896832,543793936,543793664,272,"+16 +256; +256 +16"
274505984,549059280,549011968,47312,"+16 +47296; +47296 +16"
276103424,552217260,552206848,10412,"+10408 +4; +4 +10408"
278981888,558012000,557963776,48224,"+256 +47968; +47968 +256"
287335168,574797328,574670336,126992,"+117184 +9808; +9808 +117184"
299181824,599464320,598363648,1100672,"+1064704 +35968; +35968 +1064704"
301712128,603495088,603424256,70832,"+28528 +42304; +42304 +28528"
304994048,610011360,609988096,23264,"+23008 +256; +256 +23008"
309294848,618718800,618589696,129104,"+129088 +16; +16 +129088"
316797568,633958560,633595136,363424,"+14528 +348896; +348896 +14528"
320298752,640597776,640597504,272,"+16 +256; +256 +16"
323136512,648833496,646273024,2560472,"+2524504 +35968; +35968 +2524504"
330431744,661011204,660863488,147716,"+147712 +4; +4 +147712"
332333824,664667920,664667648,272,"+16 +256; +256 +16"
347609344,700650496,695218688,5431808,"+412 +5431396; +5431396 +412"
351198464,702776256,702396928,379328,"+379264 +64; +64 +379264"
362159872,724360896,724319744,41152,"+128 +41024; +41024 +128"
362291456,724600044,724582912,17132,"+17128 +4; +4 +17128"
369455872,739077696,738911744,165952,"+128 +165824; +165824 +128"
387110272,774333000,774220544,112456,"+16064 +96392; +96392 +16064"
395946112,792331920,791892224,439696,"+3632 +436064; +436064 +3632"
409137536,818727480,818275072,452408,"+1816 +450592; +450592 +1816"
421399168,843262560,842798336,464224,"+128 +464096; +464096 +128"
421864064,844192800,843728128,464672,"+464608 +64; +64 +464608"
422270848,845006760,844541696,465064,"+465056 +8; +8 +465056"
432448256,864918600,864896512,22088,"+21832 +256; +256 +21832"
434370304,868740880,868740608,272,"+16 +256; +256 +16"
451623296,903367080,903246592,120488,"+112456 +8032; +8032 +112456"
470017792,940403520,940035584,367936,"+122624 +245312; +245312 +122624"
483879808,967884120,967759616,124504,"+120488 +4016; +4016 +120488"
490312448,984455808,980624896,3830912,"+346 +3830566; +3830566 +346"
515108224,1030344840,1030216448,128392,"+128 +128264; +128264 +128"
515879296,1031887080,1031758592,128488,"+128456 +32; +32 +128456"
516007808,1032144120,1032015616,128504,"+128488 +16; +16 +128488"
516072064,1032272640,1032144128,128512,"+128504 +8; +8 +128504"
527465728,1056895168,1054931456,1963712,"+17344 +1946368; +1946368 +17344"
534767488,1070926560,1069534976,1391584,"+1385408 +6176; +6176 +1385408"
536829824,1073692800,1073659648,33152,"+32638 +514; +514 +32638"
539981056,1079973972,1079962112,11860,"+2372 +9488; +9488 +2372"
541040512,1082113920,1082081024,32896,"+16448 +16448; +2 +32894; +32894 +2"
549767936,1099602504,1099535872,66632,"+30088 +36544; +36544 +30088"
553036544,1106077896,1106073088,4808,"+4744 +64; +64 +4744"
568719616,1139668992,1137439232,2229760,"+2162432 +67328; +67328 +2162432"
599272192,1198691536,1198544384,147152,"+138496 +8656; +8656 +138496"
609472384,1220523840,1218944768,1579072,"+128 +1578944; +1578944 +128"
611004032,1223590980,1222008064,1582916,"+1582912 +4; +4 +1582912"
618107648,1236358368,1236215296,143072,"+142816 +256; +256 +142816"
667585792,1335189856,1335171584,18272,"+18268 +4; +4 +18268; +9136 +9136"
704965376,1410360000,1409930752,429248,"+367936 +61312; +61312 +367936"
713915264,1428216240,1427830528,385712,"+15424 +370288; +370288 +15424"
717849856,1436065344,1435699712,365632,"+128 +365504; +365504 +128"
813839872,1628681472,1627679744,1001728,"+294656 +707072; +707072 +294656"
878411008,1757414848,1756822016,592832,"+118528 +474304; +474304 +118528"
892340096,1785146880,1784680192,466688,"+3856 +462832; +462832 +3856"
919030016,1838103792,1838060032,43760,"+35008 +8752; +8752 +35008"
945792896,1891594080,1891585792,8288,"+64 +8224; +8224 +64"
951321472,1903136400,1902642944,493456,"+32 +493424; +493424 +32"
951691648,1903876920,1903383296,493624,"+493616 +8; +8 +493616"
951753344,1904000340,1903506688,493652,"+4 +493648; +493648 +4"
993693952,1991183040,1987387904,3795136,"+16832 +3778304; +3778304 +16832"
