n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
859744,1722168,"2^5 * 67^1 * 401^1",2680,"+2144 +536; +536 +2144"
956512,1914192,"2^5 * 71^1 * 421^1",1168,"+1136 +32; +32 +1136"
981504,2946240,"2^9 * 3^3 * 71^1",983232,"+1728 +981504; +981504 +1728"
1091696,2216376,"2^4 * 31^2 * 71^1",32984,"+15376 +17608; +17608 +15376"
1106944,2358144,"2^10 * 23^1 * 47^1",144256,"+138368 +5888; +5888 +138368"
1248256,2652912,"2^10 * 23^1 * 53^1",156400,"+156032 +368; +368 +156032"
1338592,2683800,"2^5 * 59^1 * 709^1",6616,"+5672 +944; +944 +5672"
1561376,3129840,"2^5 * 59^1 * 827^1",7088,"+472 +6616; +6616 +472"
1664064,4992624,"2^6 * 3^5 * 107^1",1664496,"+1664064 +432; +432 +1664064"
1769056,3545640,"2^5 * 59^1 * 937^1",7528,"+32 +7496; +7496 +32"
1776608,3560760,"2^5 * 59^1 * 941^1",7544,"+16 +7528; +7528 +16"
1907104,3820068,"2^5 * 61^1 * 977^1",5860,"+1952 +3908; +3908 +1952"
1940992,4124736,"2^9 * 17^1 * 223^1",242752,"+128 +242624; +242624 +128"
1991776,3984120,"2^5 * 67^1 * 929^1",568,"+32 +536; +536 +32"
2129728,4279392,"2^6 * 107^1 * 311^1",19936,"+19904 +32; +32 +19904"
2256832,4526280,"2^6 * 179^1 * 197^1",12616,"+12608 +8; +8 +12608"
2274784,4549608,"2^5 * 67^1 * 1061^1",40,"+32 +8; +8 +32"
2329024,4671568,"2^6 * 151^1 * 241^1",13520,"+3856 +9664; +9664 +3856"
2448128,4991448,"2^8 * 73^1 * 131^1",95192,"+18688 +76504; +76504 +18688"
2480704,4992624,"2^6 * 83^1 * 467^1",31216,"+1328 +29888; +29888 +1328"
2500544,5029200,"2^6 * 89^1 * 439^1",28112,"+16 +28096; +28096 +16"
2646208,5303520,"2^6 * 173^1 * 239^1",11104,"+11072 +32; +32 +11072"
2864000,7160400,"2^7 * 5^3 * 179^1",1432400,"+1432000 +400; +400 +1432000"
3145024,6300724,"2^6 * 157^1 * 313^1",10676,"+10048 +628; +628 +10048"
3190336,6421120,"2^6 * 79^1 * 631^1",40448,"+40384 +64; +64 +40384"
3335968,6679260,"2^5 * 61^1 * 1709^1",7324,"+488 +6836; +6836 +488"
3512896,7040880,"2^6 * 131^1 * 419^1",15088,"+6704 +8384; +8384 +6704"
